"name","dept","abbr","display_abbr","url","ct_name","ct_title","ct_add","ct_email","ct_phone","ct_cell","tech_name","tech_title","tech_add","tech_email","tech_phone","tech_cell"
"College of Agriculture, Food Systems and Natural Resources",2200,"ag","TRUE","http://www.ag.ndsu.edu/academics/","Jayma Moore/Scott Payne","Lab Managers","1307 N 18th Street, Fargo, ND 58102",,,"701-231-8435","Jayma Moore/Scott Payne","Lab Managers","1307 N 18th Street, Fargo, ND 58102",,,"701-231-8435"
"Agribusiness and Applied Economics",2210,"agecon",,"http://www.ag.ndsu.edu/agecon/",,,,,,,,,,,,
"Agricultural and Biosystems Engineering",2220,"aben",,"http://www.ndsu.edu/aben/",,,,,,,,,,,,
"Animal Sciences",2230,"ansc",,"http://www.ag.ndsu.edu/ansc",,,,,,,,,,,,
"School of Food Systems",2240,"foodsystems",,"http://www.ag.ndsu.edu/foodsystems/",,,,,,,,,,,,
"Entomology",2250,,,"http://www.ndsu.edu/entomology/",,,,,,,,,,,,
"Plant Pathology",2260,"plantpath",,"http://www.ag.ndsu.edu/plantpath/",,,,,,,,,,,,
"Plant Sciences",2270,,,"http://www.ag.ndsu.edu/plantsciences/",,,,,,,,,,,,
"School of Natural Resource Sciences",2280,"snrs",,"http://www.ndsu.edu/snrs/",,,,,,,,,,,,
"Veterinary and Microbiological Sciences",2290,"vetandmicro",,"http://www.ndsu.edu/vetandmicro",,,,,,,,,,,,
"College of Arts, Humanities and Social Sciences",2300,"ahss",,"http://www.ndsu.edu/ahss/","Kent Sandstrom","Dean","Minard Hall","example@example.com","701-231-8338",,"Kent Sandstrom","Dean","Minard Hall","example@example.com","701-231-8338",
"Communication",2310,"comm",,"http://www.ndsu.edu/communication/",,,,,,,,,,,,
"Criminal Justice and Political Science",2315,"cjps",,"http://www.ndsu.nodak.edu/ndsu/cjps/",,,,,,,,,,,,
"English",2320,,,"http://www.ndsu.edu/english/",,,,,,,,,,,,
"Division of Performing Arts",2330,,,"http://www.ndsu.edu/finearts",,,,,,,,,,,,
"Visual Arts",2332,,,"http://www.ndsu.edu/finearts/visual_arts/index.html",,,,,,,,,,,,
"History, Philosophy, and Religious Studies",2340,,,"http://www.ndsu.edu/history/",,,,,,,,,,,,
"Modern Languages",2345,,,"http://www.ndsu.edu/modernlanguages/",,,,,,,,,,,,
"Sociology and Anthropology",2350,"socanth",,"http://www.ndsu.edu/socanth/",,,,,,,,,,,,
"Emergency Management",2351,"emgt",,"http://www.ndsu.edu/emgt/",,,,,,,,,,,,
"College of Business",2400,"business",,"http://www.ndsu.edu/business/","Jane Schuh","Interim Dean"," Barry Hall",,,"701-231-8651","Jane Schuh","Interim Dean"," Barry Hall",,,"701-231-8651"
"Accounting, Finance, and Information Systems",2410,,,"http://www.ndsu.edu/business/accounting_finance_info_systems/",,,,,,,,,,,,
"Management and Marketing",2420,"mgmt-mrkt",,"http://www.ndsu.edu/mgmt_mrkt/",,,,,,,,,,,,
"College of Engineering",2450,"coe",,"http://www.ndsu.edu/coe/","Gary Smith","Dean","Engineering Administration","example@example.com","701-231-7494",,"Gary Smith","Dean","Engineering Administration","example@example.com","701-231-7494",
